Epoch: 1, lr: 1.00e-03 - train loss: 6.53e-01 - valid loss: 6.19e-01, valid error_rate: 2.61e-01
Epoch: 2, lr: 9.82e-04 - train loss: 5.95e-01 - valid loss: 5.90e-01, valid error_rate: 2.49e-01
Epoch: 3, lr: 9.63e-04 - train loss: 5.72e-01 - valid loss: 5.71e-01, valid error_rate: 2.38e-01
Epoch: 4, lr: 9.45e-04 - train loss: 5.57e-01 - valid loss: 5.75e-01, valid error_rate: 2.41e-01
Epoch: 5, lr: 9.27e-04 - train loss: 5.44e-01 - valid loss: 5.68e-01, valid error_rate: 2.36e-01
Epoch: 6, lr: 9.08e-04 - train loss: 5.31e-01 - valid loss: 5.50e-01, valid error_rate: 2.27e-01
Epoch: 7, lr: 8.90e-04 - train loss: 5.21e-01 - valid loss: 5.47e-01, valid error_rate: 2.25e-01
Epoch: 8, lr: 8.71e-04 - train loss: 5.14e-01 - valid loss: 5.40e-01, valid error_rate: 2.23e-01
Epoch: 9, lr: 8.53e-04 - train loss: 5.08e-01 - valid loss: 5.41e-01, valid error_rate: 2.22e-01
Epoch: 10, lr: 8.35e-04 - train loss: 5.02e-01 - valid loss: 5.36e-01, valid error_rate: 2.19e-01
Epoch: 11, lr: 8.16e-04 - train loss: 4.96e-01 - valid loss: 5.36e-01, valid error_rate: 2.20e-01
Epoch: 12, lr: 7.98e-04 - train loss: 4.91e-01 - valid loss: 5.68e-01, valid error_rate: 2.37e-01
Epoch: 13, lr: 7.80e-04 - train loss: 4.87e-01 - valid loss: 5.42e-01, valid error_rate: 2.22e-01
Epoch: 14, lr: 7.61e-04 - train loss: 4.83e-01 - valid loss: 5.28e-01, valid error_rate: 2.15e-01
Epoch: 15, lr: 7.43e-04 - train loss: 4.78e-01 - valid loss: 5.36e-01, valid error_rate: 2.19e-01
Epoch: 16, lr: 7.24e-04 - train loss: 4.76e-01 - valid loss: 5.37e-01, valid error_rate: 2.20e-01
Epoch: 17, lr: 7.06e-04 - train loss: 4.72e-01 - valid loss: 5.33e-01, valid error_rate: 2.17e-01
Epoch: 18, lr: 6.88e-04 - train loss: 4.68e-01 - valid loss: 5.29e-01, valid error_rate: 2.17e-01
Epoch: 19, lr: 6.69e-04 - train loss: 4.65e-01 - valid loss: 5.30e-01, valid error_rate: 2.15e-01
Epoch: 20, lr: 6.51e-04 - train loss: 4.61e-01 - valid loss: 5.36e-01, valid error_rate: 2.18e-01
Epoch: 21, lr: 6.33e-04 - train loss: 4.58e-01 - valid loss: 5.35e-01, valid error_rate: 2.19e-01
